Sl. No,Polling Station No,R KARTHIKEYAN.,J BADUSHA. SULTHAN,LARENEG EMAN K NAGAJOTHI.,EHT V MUNIYASAMY.,S SROTCELE,C VETRIKUMARAN.,OT NI,K K. THIRUVALAVAN. ARASU,ANBUMANIKANDAN TAMILSOORIYAN.K,K BASHA. SULTHAN,B SEBASTHIYAN.,IARUDAM M PREMKUMAR.,TSEW N RAMU.,M VENKATESAN.,rednet de,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
192,125,163,10,210,0,0,6,38,43,0,0,2,1,0,1,1,3,478,0,478,0
193,126,204,5,203,3,0,10,43,37,0,1,0,0,0,1,1,4,512,0,512,0
194,127,161,11,126,0,1,13,56,51,0,0,0,0,0,0,0,2,421,0,421,0
195,127(A),155,8,166,3,0,14,48,33,1,0,1,0,1,0,0,1,431,0,431,0
196,128,162,1,153,2,0,15,73,37,0,0,0,0,0,0,0,5,448,0,448,0
197,129,149,6,122,0,0,11,41,44,0,0,1,0,0,0,0,2,376,0,376,0
198,129(A),151,9,151,2,0,6,41,27,0,0,1,0,0,0,0,0,388,0,388,0
199,130,166,7,127,0,0,10,48,41,0,2,0,0,0,1,0,11,413,0,413,0
200,130(A),143,1,136,0,0,7,37,25,0,0,0,0,0,0,0,3,352,0,352,0
201,131,139,2,99,0,0,6,27,39,0,0,0,0,0,1,0,3,316,0,316,0
202,131(A),133,2,140,1,0,2,21,23,1,0,0,0,0,2,0,2,327,0,327,0
203,132,197,11,123,2,0,10,53,47,0,0,0,0,1,0,0,5,449,0,449,0
204,132(A),194,5,143,1,0,12,44,31,0,2,0,0,0,2,0,3,437,0,437,0
205,133,163,17,115,0,1,7,31,50,0,0,0,0,1,0,0,6,391,0,391,0
206,133(A),157,8,148,0,0,8,34,38,0,0,1,0,0,1,0,2,397,0,397,0
207,134,158,20,139,1,0,17,41,76,0,0,0,0,0,1,0,6,459,0,459,0
208,134(A),121,11,171,0,0,8,25,48,0,1,1,0,0,1,1,7,395,0,395,0
209,135,254,3,161,2,0,5,18,44,0,1,0,0,1,1,0,5,495,0,495,0
210,135(A),253,2,213,0,0,4,22,30,0,0,0,0,1,3,0,8,536,0,536,0
211,136,198,15,379,1,1,1,26,66,1,0,0,0,0,0,0,1,689,0,689,0
212,137,145,15,150,0,1,1,20,44,0,0,0,0,0,1,0,4,381,0,381,0
213,137(A),132,9,211,0,3,3,13,19,0,0,0,0,0,2,0,1,393,0,393,0
214,138,180,5,228,0,0,4,38,47,0,0,0,0,0,1,2,10,515,0,515,0
215,139,201,18,169,0,0,8,54,50,0,0,0,0,1,0,0,9,510,0,510,0
216,140,201,4,122,0,0,14,35,35,0,0,1,0,0,1,0,5,418,0,418,0
217,141,176,7,105,1,3,9,35,34,0,0,0,0,0,0,1,3,374,0,374,0
218,141(A),163,2,123,0,2,3,41,19,0,0,0,0,0,0,1,2,356,0,356,0
219,142,145,8,154,2,0,7,14,43,0,0,0,1,0,1,0,4,379,0,379,0
220,142(A),146,3,182,3,0,3,12,24,0,0,0,2,0,3,0,3,381,0,381,0
221,143,180,9,140,0,0,7,76,35,0,0,0,0,0,0,0,3,450,0,450,0
222,143(A),155,3,124,0,0,8,86,23,0,0,0,0,0,1,0,6,406,0,406,0
223,144,150,9,129,3,0,10,58,68,0,0,0,1,0,0,0,2,430,0,430,0
224,144(A),147,2,141,3,0,10,35,43,0,0,0,0,0,3,1,1,386,0,386,0
225,145,124,7,106,0,1,10,32,46,0,0,1,0,0,0,0,5,332,0,332,0
226,145(A),109,4,102,1,1,7,45,22,0,0,0,0,0,0,0,0,291,0,291,0
227,146,179,6,102,1,0,6,26,35,0,0,0,0,0,1,0,0,356,0,356,0
228,146(A),166,3,131,0,0,11,23,22,0,0,0,0,0,1,0,4,361,0,361,0
229,147,167,10,142,1,0,4,43,58,0,1,0,0,0,1,0,3,430,0,430,0
230,147(A),118,11,176,0,0,12,41,30,0,1,0,0,0,0,0,2,391,0,391,0
231,148,196,17,135,0,0,6,36,83,0,0,0,0,0,0,0,3,476,0,476,0
232,148(A),180,11,143,0,0,6,43,52,1,0,0,0,0,2,2,7,447,0,447,0
233,149,211,12,200,1,0,9,48,52,0,0,0,0,0,1,0,5,539,0,539,0
234,149(A),200,5,237,1,1,3,36,40,0,0,0,0,0,2,0,4,529,0,529,0
235,150,239,7,209,1,0,12,29,62,0,0,0,0,1,0,0,5,565,0,565,0
236,150(A),246,3,257,1,0,15,33,30,0,0,0,0,2,3,1,3,594,0,594,0
237,151,254,18,184,1,0,5,26,47,1,0,0,0,1,0,0,2,539,0,539,0
