Sl. No,Polling Station No,M ALAGAR MNM,S ANBARASI Katchi,S VASANTHAKUMAR,LARENEG EMAN J M VOLTAIRE Centre (Communist) CPI,EHT M JEYAPAL Kazagam,S SROTCELE J SITHICK ABUBAKKAR,OT T VISHWAKARMA RAAM,D ISMAIL,N KUPPUSAMY,. J KESAVARAJAH,P SANKARAPANDI,IARUDAM,K THEIVAMMAL,HTRON R NATARAJAN,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
194,132(A),89,200,19,38,1,0,7,0,0,0,0,0,0,1,0,1,356,0,356,0
195,133,147,269,72,50,0,0,3,0,0,0,0,0,0,2,0,3,546,0,546,0
196,134,99,200,20,44,1,0,5,0,0,0,0,0,0,0,0,1,370,0,370,0
197,134(A),92,210,34,26,1,0,4,0,0,0,0,0,0,1,0,3,371,0,371,0
198,135,209,231,30,29,0,0,16,0,0,1,0,0,0,0,0,3,519,0,519,0
199,136,226,141,24,47,0,2,17,0,0,0,0,1,0,0,0,5,463,0,463,0
200,136(A),265,140,25,18,0,0,4,0,0,0,0,0,0,0,1,1,454,0,454,0
201,137,143,144,46,31,0,2,6,0,1,0,0,0,1,0,0,3,377,0,377,0
202,137(A),144,130,47,23,0,0,3,1,0,0,0,0,1,0,0,3,352,0,352,0
203,138,93,192,22,42,0,1,5,0,0,1,0,0,0,0,0,2,358,0,358,0
204,138(A),76,229,27,23,0,0,6,0,0,2,0,1,0,1,1,3,369,0,369,0
205,139,119,124,48,26,1,0,6,0,0,0,0,0,0,1,0,6,331,0,331,0
206,140,126,138,31,37,1,0,8,0,0,0,1,0,0,0,0,5,347,0,347,0
207,140(A),118,141,47,25,0,0,11,0,0,2,0,0,0,0,0,3,347,0,347,0
208,141,129,141,31,30,1,0,11,0,1,0,0,0,2,0,0,4,350,0,350,0
209,142,270,231,43,85,0,3,23,1,0,0,0,0,0,0,1,11,668,0,668,0
210,143,144,149,61,45,0,0,14,0,0,0,0,0,1,1,0,1,416,0,416,0
211,144,73,129,30,30,0,0,3,0,1,1,0,0,0,0,0,5,272,0,272,0
212,144(A),55,140,27,27,0,0,1,0,0,0,0,0,0,0,0,2,252,0,252,0
213,145,106,166,32,39,0,0,11,0,1,0,0,0,0,0,1,3,359,0,359,0
214,146,206,225,47,69,0,0,7,0,0,1,0,0,0,0,0,6,561,0,561,0
215,147,212,267,37,55,0,0,12,0,2,0,2,0,0,1,1,8,597,0,597,0
216,148,166,124,31,12,0,0,1,0,0,1,0,0,0,0,0,5,340,0,340,0
217,149,109,186,36,33,0,0,10,1,0,0,0,1,0,0,0,7,383,0,383,0
218,150,51,116,18,27,0,0,9,0,0,0,1,0,0,0,0,2,224,0,224,0
219,150(A),44,145,20,11,0,0,3,0,0,0,0,0,0,0,0,1,224,0,224,0
220,151,270,194,76,39,0,0,14,0,0,0,0,0,0,0,1,7,601,0,601,0
221,152,194,235,61,53,1,0,9,0,0,0,0,0,0,1,0,5,559,0,559,0
222,153,107,163,23,28,0,1,6,3,0,0,0,0,0,0,1,7,339,0,339,0
223,153(A),112,177,43,31,0,0,2,1,0,0,0,1,1,0,2,1,371,0,371,0
224,154,140,145,9,48,0,0,11,0,0,0,0,0,0,0,0,2,355,0,355,0
225,154(A),202,153,18,23,0,0,10,0,0,0,0,1,0,1,2,7,417,0,417,0
226,155,179,270,12,43,0,0,18,0,0,0,0,0,0,0,0,6,528,0,528,0
227,156,199,184,86,31,0,0,6,0,0,0,0,0,0,0,0,3,509,0,509,0
228,157,22,343,13,19,0,0,20,0,0,0,0,0,0,0,0,1,418,0,418,0
229,157(A),15,359,9,12,0,0,20,0,0,0,0,1,0,1,2,2,421,0,421,0
230,158,40,392,31,17,1,0,11,0,0,0,0,0,0,0,0,5,497,0,497,0
231,159,104,276,30,52,1,0,4,0,1,0,0,1,0,0,0,5,474,0,474,0
232,160,70,423,25,46,0,0,10,0,0,1,0,0,0,1,1,2,579,0,579,0
233,161,119,233,25,40,0,0,15,0,1,0,0,1,1,0,0,5,440,0,440,0
234,162,78,202,17,34,0,1,16,0,0,0,0,0,0,1,0,2,351,0,351,0
235,162(A),79,252,27,14,0,1,10,0,0,0,0,1,0,0,0,5,389,0,389,0
236,163,32,352,11,47,0,0,13,1,0,0,0,0,0,1,0,1,458,0,458,0
237,163(A),28,397,18,14,0,0,15,0,0,0,0,0,2,0,0,0,474,0,474,0
238,164,90,264,25,47,0,0,4,0,0,0,0,0,0,0,0,5,435,0,435,0
239,164(A),74,316,23,35,0,3,3,0,0,0,0,0,0,0,1,6,461,0,461,0
240,165,94,250,30,46,2,1,5,1,0,0,0,0,0,0,0,2,431,0,431,0
241,165(A),99,267,30,42,0,0,6,0,0,0,0,0,0,0,0,4,448,0,448,0
242,166,146,182,28,38,0,0,4,0,0,0,0,0,1,0,0,5,404,0,404,0
243,166(A),143,208,35,23,1,0,5,1,0,0,0,1,0,0,2,4,423,0,423,0
244,167,114,220,22,54,3,0,8,0,0,0,0,0,0,0,0,1,422,0,422,0
245,167(A),132,233,13,29,1,0,8,0,1,2,0,2,0,0,2,6,429,0,429,0
246,168,89,217,29,39,0,1,10,0,0,0,1,0,0,1,0,6,393,0,393,0
247,168(A),99,268,18,33,0,0,8,0,0,0,0,0,0,1,1,3,431,0,431,0
248,169,128,315,16,55,1,0,7,1,0,0,0,0,0,0,0,1,524,0,524,0
249,169(A),150,352,18,20,1,0,6,0,0,0,0,1,1,0,5,3,557,0,557,0
250,170,124,402,24,32,0,0,12,1,1,0,0,1,1,0,1,6,605,0,605,0
251,171,71,381,26,37,0,1,4,0,0,1,1,0,0,0,3,4,529,0,529,0
252,172,150,153,58,53,0,0,3,0,0,1,0,0,0,0,0,3,421,0,421,0
253,172(A),138,151,46,35,1,1,1,0,0,1,0,0,0,3,0,3,380,0,380,0
254,173,177,218,46,57,0,0,4,0,0,0,1,0,1,1,0,8,513,0,513,0
255,174,152,269,68,42,1,0,2,0,0,0,0,1,0,0,0,4,539,0,539,0
256,175,186,288,84,38,0,1,15,1,0,0,0,0,0,4,0,8,625,0,625,0
257,176,200,277,64,39,0,0,24,0,1,0,0,0,0,0,0,11,616,0,616,0
258,177,92,168,42,15,0,0,6,0,0,0,0,0,0,0,0,5,328,0,328,0
259,177(A),81,145,47,15,0,0,3,0,0,0,0,0,1,0,0,6,298,0,298,0
260,178,232,225,22,34,0,0,45,0,0,1,0,0,0,1,0,4,564,0,564,0
261,179,147,311,82,39,1,0,10,0,1,1,0,0,0,0,1,8,601,0,601,0
262,180,137,215,62,31,0,2,5,0,0,0,0,0,0,0,0,5,457,0,457,0
263,181,173,236,66,34,0,2,8,0,0,1,0,0,0,0,0,4,524,0,524,0
264,182,155,175,27,47,0,0,28,1,1,0,1,0,1,0,0,6,442,0,442,0
265,182(A),141,241,18,27,2,0,24,0,0,0,2,0,0,0,1,4,460,0,460,0
266,183,162,236,47,47,0,0,18,0,0,0,0,0,0,3,0,7,520,0,520,0
267,184,145,149,48,20,0,1,5,0,0,0,0,0,0,0,0,4,372,0,372,0
268,184(A),116,154,51,18,1,2,5,0,0,0,0,0,0,0,0,8,355,0,355,0
269,185,81,130,24,26,0,0,7,0,0,0,0,0,0,0,0,2,270,0,270,0
270,185(A),86,175,37,20,0,0,4,0,0,0,0,0,0,0,0,3,325,0,325,0
271,186,170,157,69,22,0,0,2,0,3,0,0,0,0,1,0,5,429,0,429,0
272,187,188,145,77,20,0,0,5,0,0,2,0,0,0,1,0,1,439,0,439,0
273,188,118,181,78,23,0,0,3,1,0,0,0,0,1,1,1,5,412,0,412,0
274,189,300,364,46,43,0,0,21,0,0,0,0,1,0,1,3,8,787,0,787,0
275,190,228,255,42,46,1,0,13,1,0,0,0,0,0,1,0,7,594,0,594,0
276,191,121,228,54,57,0,1,6,1,0,0,0,0,0,1,0,6,475,0,475,0
277,192,114,176,58,35,0,0,6,0,1,0,0,0,0,0,0,3,393,0,393,0
278,193,183,205,76,52,0,0,10,1,0,0,0,1,0,0,0,6,534,0,534,0
279,194,109,149,36,40,0,0,4,0,0,0,0,0,2,0,1,2,343,0,343,0
280,195,199,300,49,66,0,0,7,1,1,0,0,0,0,0,0,9,632,0,632,0
