Sl. No,Polling Station No,Raja.N Makkal Katchi Sakthi Desiya,G Kamalakannan. Tamilnadu Ilangyar Katchi,Karthikeyan.R. Tamilar Katchi Naam,Sarathbabu Maiam Needhi Makkal,Subashree Arasiyal Makkal Anaithu,Suresh.R.Dr. Manavadhikaa Federal Bhartiya r,Thameem Mohammed M Ansari. India Democratic of Party Social,Chinnadurai Rajesh South Democratic of National India Party,Vincent.J India (Athawale) Republican of Party,Anbarasu.E Independent,Anbarasu.S Independent,M Anbarasu. Independent,M Kumar. Ashok Independent,Mohammed Ali Independent,Lincon.A Abraham Independent,Sathiyaraj.P Independent,Saravanan.K Independent,Saravanan.C Independent,S.V. Saravanan Independent,Nithiyanandam.S Independent,Raji.B Independent,Sridhar.S Independent,Sridhar.S Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
138,88 AW,165,110,0,2,12,54,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,4,352,0,352,0
139,89 M,174,111,0,2,32,33,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,362,0,362,0
140,89 AW,137,120,1,1,17,35,1,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,1,1,321,0,321,0
141,90,205,168,0,2,28,91,0,1,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,502,0,502,0
142,91 M,133,101,1,0,35,52,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,327,0,327,0
143,91 AW,137,102,0,2,15,60,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,322,0,322,0
144,92 M,175,162,0,0,41,68,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,6,458,0,458,0
145,92 AW,150,161,2,3,30,60,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,414,0,414,0
146,93 M,147,120,0,5,35,56,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,371,0,371,0
147,93 AW,129,128,1,3,18,73,0,0,2,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,6,365,0,365,0
148,94 M,150,114,0,5,31,71,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,377,0,377,0
149,94 AW,135,119,1,6,21,84,0,1,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,3,376,0,376,0
150,95 M,124,102,0,3,22,13,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,272,0,272,0
151,95 AW,228,167,0,5,20,26,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,452,0,452,0
152,96 M,185,100,0,1,23,18,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,330,0,330,0
153,96 AW,197,103,0,0,27,23,1,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,358,0,358,0
154,97,325,186,1,5,38,35,0,0,3,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,7,604,0,604,0
155,98,70,79,0,1,8,24,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,188,0,188,0
156,99 M,189,107,0,1,33,26,0,0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,372,0,372,0
157,99 AW,212,113,0,0,26,31,1,0,6,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,6,400,0,400,0
158,100 M,253,118,1,0,43,32,0,0,4,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,2,457,0,457,0
159,100 AW,290,144,1,0,23,38,0,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,4,2,5,513,0,513,0
160,101,316,143,1,2,33,35,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,549,0,549,0
161,102 M,266,89,0,2,54,8,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,428,0,428,0
162,102 AW,271,121,2,0,23,10,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,435,0,435,0
163,103,122,63,0,0,16,51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,258,0,258,0
164,104,290,113,0,1,41,55,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,508,0,508,0
165,105,244,94,0,2,41,39,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,435,0,435,0
166,106,283,108,0,2,28,45,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,470,0
167,107 M,123,91,0,0,20,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,277,0,277,0
168,107 AW,98,87,0,0,11,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,243,0,243,0
169,108 M,196,132,1,0,42,20,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,402,0,402,0
170,108 AW,179,152,0,1,23,36,0,0,3,0,1,2,0,0,1,0,0,0,0,1,0,2,0,0,0,3,404,0,404,0
171,109 M,198,121,0,1,38,74,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,438,0,438,0
172,109 AW,208,140,0,2,18,72,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,1,448,0,448,0
173,110 M,169,122,0,0,35,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,344,0,344,0
