Sl. No,Polling Station No,Sundararajan .S AIADMK,DMKK.M.Rajesh,KTMT C. Sivalingam,K. Sengodan MNM,A. Chellamuthu AMMK,PIMK.Settu,S. Shobana NTK,IPG P. Ravikumar,A. Arokiasami IND,M. Gunasekaran IND,S. Gopalakrishnan IND,V. Sathishkumar IND,R. Sengoten IND,C. Durairaj IND,M. Palaniyappan IND,M. Bakkiyamani IND,K. Prabhu IND,P. Manivel IND,P. Vijayakumar IND,"INDK.Vijayan,@Viji",T. Vengadachalam IND,I. Jaganathan IND,M. Jagannathan IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
169,138,338,397,4,7,0,0,30,0,1,0,0,1,0,1,5,2,1,2,0,0,0,0,0,789,0,0,789
170,139M,208,246,2,4,3,0,45,1,0,0,0,0,1,1,0,5,0,1,0,0,0,0,0,517,1,0,518
171,139A(W),268,235,4,6,3,0,19,0,1,2,0,0,0,1,1,10,1,2,1,0,0,0,0,554,3,0,557
172,140,238,201,2,8,0,0,16,7,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,477,4,0,481
173,141,330,389,3,11,0,0,42,0,0,1,0,1,0,1,2,1,1,3,0,0,0,0,0,785,5,0,790
174,142,295,243,3,5,4,0,37,0,0,0,0,0,0,1,3,4,1,1,1,0,1,0,0,599,4,0,603
175,143,270,289,0,4,1,0,37,0,0,0,0,0,0,0,3,2,1,1,0,1,0,1,0,610,0,0,610
176,144,125,173,0,1,0,1,21,0,0,0,1,0,0,0,2,1,1,4,0,0,0,0,0,330,3,0,333
177,145,256,231,1,5,5,0,29,0,2,0,0,0,0,2,4,2,0,0,0,0,1,0,1,539,5,0,544
178,146,252,295,2,1,3,0,32,0,0,0,2,1,0,1,5,5,0,0,0,0,1,0,0,600,5,0,605
179,147,353,200,2,8,3,1,28,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,601,4,0,605
180,148,236,163,6,6,5,0,23,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,442,3,0,445
181,149,429,399,1,12,4,0,29,1,1,0,0,0,0,2,3,2,1,2,0,0,0,0,0,886,9,0,895
182,150,451,224,0,2,4,0,26,1,0,0,0,0,0,0,1,0,4,3,0,0,0,0,0,716,5,0,721
183,151,462,270,2,9,1,0,43,1,1,0,0,0,0,0,1,3,1,2,0,0,0,2,0,798,5,0,803
184,152,420,340,3,5,0,0,24,0,1,0,0,1,0,0,1,5,2,0,1,0,0,0,1,804,3,0,807
185,153,169,322,1,8,4,0,16,0,0,0,0,0,0,0,2,1,0,1,0,0,0,3,0,527,1,0,528
186,154,345,302,6,6,4,0,26,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,694,1,0,695
187,155M,274,205,2,5,2,1,21,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,515,1,0,516
188,155A(W),270,202,2,3,0,0,9,0,1,0,1,1,0,1,1,2,3,0,0,0,1,0,0,497,5,0,502
189,156,490,262,2,6,0,1,37,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,807,4,0,811
190,157,365,278,1,2,6,2,19,1,0,0,0,0,0,0,2,3,2,2,1,0,1,2,0,687,4,0,691
191,158,445,234,4,4,1,0,16,0,2,1,0,2,0,0,1,1,0,0,0,1,0,0,0,712,7,0,719
192,159,422,150,3,3,1,0,23,0,0,0,0,1,0,0,2,0,3,2,0,0,0,0,0,610,2,0,612
193,160,407,226,1,1,0,0,28,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,667,1,0,668
194,161M,306,206,5,6,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,549,5,0,554
195,161A(W),293,193,7,4,3,0,9,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,513,2,0,515
196,162M,314,170,0,6,2,0,15,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,512,0,0,512
197,162A(W),302,152,3,2,0,1,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,470,3,0,473
198,163M,273,200,0,5,10,1,24,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,515,2,0,517
199,163A(W),259,195,1,2,7,0,7,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0,0,477,3,0,480
200,164,416,247,1,1,3,0,12,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,683,0,0,683
201,165,371,204,0,2,3,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,591,2,0,593
202,166,431,381,2,1,3,1,29,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,854,3,0,857
203,167M,318,235,1,3,3,0,19,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,581,2,0,583
204,167A(W),306,231,2,0,1,1,12,0,1,0,0,0,0,0,1,3,1,3,0,0,0,0,0,562,4,0,566
