Polling Station No.,Building,Polling Areas
63,"Hindu Primary School,Ramanathapuram","1.South Sankarankovil (R.V) Ramanathapuram (P) Block No 1 Ramanathapuram , 2.South Sankarankovil (R.V) Ramanathapuram (P) Block No 2 Ramanathapuram , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
64,"Panchayat Union Primary School,Nedunkulam,Therkku Sankarankovil","1.South Sankarankovil (R.V) Ramanathapuram(Pt) Block 3 Nedunkulam , 2.South Sankaranovil (R.V) Ramanathapuram (Pt) Block No 4 Arukkonethal , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
65,"Panchayat Union Primary School,East Building,Naduvakurichi Major","1.Naduvakurichi Major (R.V), Naduvakurichi Major (Pt) Block No1 Naduvakurichi , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
66,"Panchayat Union Primary School,North Building,Naduvakurichi Major","1.Naduvakurichi Major (R.V), Naduvakurichi Major (Pt) Block No 2 Naduvakurichi , 2.NaduvakkurichiMajor (R.V), NaduvakkurichiMajor ( Pt) Block No 2 Naduvakkurichi , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
67,"Govt High Sec School,South Building,Naduvakurichi","1.Naduvakurichi Major (R.V), Naduvakurichi Major (Pt) Block No 3 Naduvakurichi Vallaramapuram , 2.NADUVAKURICHI MAJOR (R.V), NADUVAKURICHI MAJOR(PT) BLOCK NO 3 NADUVAKURICHI 3 RD STREET , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
68,"Panuchayat Union Primary School,North Building,Vallaramapuram","1.Naduvakurichi Mainar (R.V), Naduvakurichi Mainar (Pt) Block No 2 Vallaramapuram Puthukiramam , 2.NADIVAKURICHI MAJOR(R.V)NADIVAKURICHI MAJOR (Pt) BLOCK 3RD STREET , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
69,"Hindu Nadar Middle School,New Building Eastern Portion,Kadaiyalurutti","1.Senthamangalam (R.V) Senthamangalammajara (pt) Block No 1 Kadaiyalurutti pillayar kovil street , 2.Senthamangalm (R.V) Senthamangalm majara (pt) Block No 2 kadaiyalurutti Mela theru , 3.Sendamangalam (R.V) Sendamangalam (Pt) Block No 3 Kadaiyalurutti , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
70,"Hindu Nadar Middle School,New Building Western Portion,Kadaiyalurutti","1.Sendamangalam (R.V) Sendamangalam (Pt) Block No 4 Kadaiyalurutti Kamarajar St , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
71,"Hindu Nadar Middle School,New Building Middle Portion,Kadaiyalurutti","1.Sendamangalam (R.V) Sendamangalam (Pt) Block No 4 Kadaiyalurutti Kamarajar Street 8 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
72,"Ramar Middle School,South Building Eastern Portion,Vellappanadanoor","1.Sendamangalam (R.V) Sendamangalam majara (Pt) Block No 5 Vellappanadanur , 2.Sendamangalam (R.V) Sendamangalam majara (Pt) Block No 7 murugan kovil street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
