Sl. No,Polling Station No,oT( lareneG C KUMAR. ASHOK Makkal katchi,eb desu rof ot ASA FAROOK. UMAR Democratic ia IND,gnidrocer eht limaT A BASHA. KAREEM Ulama Council,eeS( eht udaN V PARTHIBAN. Party Youth Development,)( gnitov evitalsigeL S.P MANI. Pensioners Party,tcudnoC ta traP MAHARUNNISHA Tamilar NTK,morf I S RAJA. Needhi MNM,seluR rehto eht L MURUGAN. IND,) naht deifiton RUBMA. P KANTH. RAJI IND,V.A GEORGE. IND,)snoitatS,rof noitpo,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
20,16,313,3,323,1,3,0,2,2,58,5,0,0,0,710,0,2,712,0
21,17M,213,1,172,0,1,1,0,1,42,0,0,0,0,431,0,1,432,0
22,17AW,299,0,128,1,1,0,0,0,17,4,0,0,0,450,0,6,456,0
23,18,356,5,412,6,1,1,0,0,66,5,4,4,0,860,0,5,865,0
24,19M,184,1,266,0,2,0,1,0,53,5,0,0,2,514,0,3,517,0
25,19AW,189,2,260,3,1,0,1,0,21,2,0,0,1,480,0,3,483,0
26,20,165,1,145,0,0,0,0,0,31,0,0,0,1,343,0,1,344,0
27,21M,217,4,192,2,6,0,1,0,52,5,0,2,0,481,0,2,483,0
28,21AW,260,4,217,0,3,0,0,0,14,7,1,3,0,509,0,8,517,0
29,22M,223,1,174,0,11,0,1,3,23,1,0,0,0,437,0,4,441,0
30,22AW,274,1,161,0,12,0,0,1,13,0,0,0,0,462,0,3,465,0
31,23,349,5,307,0,5,0,1,1,24,11,1,0,0,704,0,7,711,0
32,24,447,1,342,3,1,0,1,0,42,2,2,2,1,844,0,9,853,0
33,25,431,3,291,0,0,0,0,1,46,6,0,0,2,780,0,11,791,0
34,26,424,4,245,3,2,1,0,0,60,4,2,1,0,746,0,5,751,0
35,27M,289,1,177,0,3,1,0,0,24,2,1,1,0,499,0,4,503,0
36,27AW,268,4,193,2,2,0,0,0,6,2,1,3,1,482,0,3,485,0
37,28M,292,1,188,1,3,0,0,0,41,3,0,0,0,529,0,4,533,0
38,28AW,297,3,190,1,2,1,0,0,18,3,0,1,0,516,0,5,521,0
39,29,261,1,303,4,2,0,0,1,56,9,0,2,2,641,0,5,646,0
40,30M,189,1,206,0,4,0,0,1,56,2,1,1,1,462,0,5,467,0
41,30AW,223,2,228,1,1,0,0,0,41,1,1,1,0,499,0,4,503,0
42,31,184,2,291,3,1,0,0,0,25,8,1,1,0,516,0,3,519,0
43,32M,235,1,192,1,2,0,0,0,56,7,0,1,1,496,0,3,499,0
44,32AW,296,2,197,0,0,0,1,2,27,5,3,1,3,537,0,3,540,0
45,33,372,5,303,0,3,0,1,2,75,4,0,0,0,765,0,5,770,0
46,34,221,0,210,1,4,0,0,0,39,5,0,1,1,482,0,3,485,0
47,35,328,3,305,1,2,0,3,0,62,17,1,0,0,722,0,4,726,0
48,36,277,2,253,0,2,1,0,0,61,11,1,1,0,609,0,6,615,0
49,37,257,3,261,1,8,0,1,0,45,10,0,1,0,587,0,2,589,0
50,38,267,1,134,0,2,0,0,1,44,0,0,2,0,451,0,4,455,0
51,39,273,1,291,1,1,1,0,0,38,12,2,2,2,624,0,10,634,0
52,40,276,2,199,1,1,0,0,0,19,0,0,1,0,499,0,2,501,0
53,41,320,3,205,0,5,0,0,2,19,3,0,0,0,557,0,7,564,0
54,42,373,1,336,6,1,0,0,0,64,10,0,1,0,792,0,4,796,0
55,43,329,1,284,1,2,0,0,1,55,4,1,0,0,678,0,6,684,0
56,44,257,6,282,1,3,1,0,2,53,2,1,4,0,612,0,11,623,0
57,45,333,4,286,0,3,0,1,2,66,2,0,1,0,698,0,6,704,0
58,46,409,1,349,1,0,1,0,5,49,5,1,0,1,822,0,6,828,0
59,47M,203,3,184,2,6,0,1,5,33,7,0,0,0,444,0,4,448,0
60,47AW,251,6,222,2,0,1,0,0,15,5,0,3,0,505,0,3,508,0
61,48,266,3,241,0,2,0,0,4,68,6,2,0,1,593,0,1,594,0
62,49,231,3,259,1,1,0,0,6,18,5,0,0,0,524,0,6,530,0
63,50M,241,1,201,1,6,0,0,5,27,0,0,0,0,482,0,5,487,0
64,50AW,279,4,173,0,1,0,0,3,11,1,2,0,1,475,0,3,478,0
65,51,480,2,181,1,0,0,0,0,33,7,1,1,0,706,0,8,714,0
66,52,438,7,141,2,5,0,2,0,40,1,0,1,1,638,0,25,663,0
67,53,407,3,208,0,0,0,0,2,22,4,0,1,0,647,0,5,652,0
68,54,534,8,289,1,1,1,1,5,55,6,1,3,1,906,0,12,918,0
