Sl. No,Polling Station No,"M.ANANDH,TamilarKatchiNaam-5-","GOPALAKRISHNG.AN,NeedhiMaiamMakkal-6-","M.AYYAPPAN,Independent-8-","GURUMOORTHI,D.Independent-9-","SUBRAMANIAN,P.Independent-01-","P.PRAKASH,Independent-11-","VIJAYAKUMAR,C.Independent-21-",Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
326,249(A),202,122,6,17,8,1,0,0,0,1,357,0,4,361,0
327,250,172,109,35,15,17,0,0,0,0,0,348,0,3,351,0
328,250(A),199,135,25,20,18,0,0,0,1,1,399,0,4,403,0
329,251,273,61,18,25,21,0,1,0,0,1,400,0,5,405,0
330,252(A),187,135,45,23,12,0,0,0,0,0,402,0,4,406,0
331,252,204,184,28,22,6,0,0,0,0,0,444,0,3,447,0
332,253,241,145,42,17,7,0,0,0,0,0,452,0,1,453,0
333,253(A),248,177,27,26,8,1,0,1,0,0,488,0,4,492,0
334,254,309,189,39,8,7,0,0,2,0,0,554,0,6,560,0
335,255,207,113,30,26,3,0,0,0,0,0,379,0,8,387,0
336,255(A),231,152,12,27,2,1,1,0,1,0,427,0,1,428,0
337,256,135,158,55,38,6,0,0,0,0,1,393,0,6,399,0
338,256(A),129,216,19,22,6,1,0,0,1,0,394,0,10,404,0
339,257,196,151,37,37,5,1,1,1,1,1,431,0,7,438,0
340,258,227,265,34,34,24,0,0,0,0,2,586,0,12,598,0
341,259,312,160,15,27,6,1,1,0,0,2,524,0,4,528,0
342,260,217,266,35,25,11,1,0,0,0,2,557,0,5,562,0
343,261,221,218,39,45,5,0,0,0,0,1,529,0,5,534,0
344,262,234,217,34,31,7,0,2,0,0,1,526,0,8,534,0
345,263,325,235,84,38,10,0,2,0,0,0,694,0,7,701,0
346,264,234,143,45,17,13,0,0,0,0,0,452,0,3,455,0
347,264(A),228,164,28,14,19,0,0,1,0,0,454,0,6,460,0
348,265,303,133,44,18,6,0,0,0,0,0,504,0,8,512,0
349,265(A),320,139,25,30,8,0,1,1,1,3,528,0,3,531,0
350,266,263,211,45,34,9,0,1,0,1,0,564,0,12,576,0
351,267,338,109,36,11,6,2,1,0,0,1,504,0,2,506,0
352,268,219,135,27,12,16,0,0,1,0,1,411,0,5,416,0
353,268(A),176,200,20,8,16,1,1,0,0,1,423,0,1,424,0
354,269,144,114,13,16,58,0,0,0,0,0,345,0,2,347,0
355,270,196,102,36,18,3,0,0,0,0,0,355,0,2,357,0
356,270(A),190,139,20,15,8,0,1,0,0,1,374,0,2,376,0
