Sl. No,Polling Station No,M. KANDHAN Tamilargal Kalagam NTK,S. SUNDARAM SHUNMUGA Party,S. IYYAPPAN PARAMASIVA Munnettra,Thiyagi,A. PRABAKARAN Katchi doss,LARENEG emaN srotcelE P. VEERAPANDI Katchi,eht ni,N. KUMAR ASHOK,T. KATHIRAVAN,OT ALNT D. KANDASAMY,TRAP,I IRENUGNAN D. BALAJI GNANA,S. MUTHUDURAI,H. MUTHURAJ,K. LENIN,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
278,206,46,0,165,2,0,112,0,39,1,6,0,0,0,0,0,371,0,1,372,
279,206A,58,0,179,4,1,113,2,37,2,5,0,0,1,2,0,404,0,5,409,
280,207,261,3,274,3,2,18,2,73,1,5,1,0,0,0,1,644,0,5,649,
281,208,339,2,293,0,0,23,0,81,2,1,0,2,1,2,1,747,0,3,750,
282,209,183,1,114,0,1,77,2,42,1,5,3,3,0,1,2,435,0,3,438,
283,210,312,0,102,0,0,17,2,27,4,5,1,1,1,2,3,477,0,9,486,
284,211,170,1,257,0,0,36,0,28,0,0,0,0,0,0,0,492,0,1,493,
285,212,154,1,134,4,0,135,2,48,1,0,0,1,0,5,0,485,0,3,488,
286,213,283,3,139,1,2,84,3,41,0,4,1,0,0,3,2,566,0,7,573,
287,214,170,5,264,6,4,95,2,56,1,7,0,2,0,1,3,616,0,10,626,
288,215,268,4,148,2,2,99,2,34,0,7,1,0,0,0,1,568,0,4,572,
289,216,231,1,121,1,1,98,0,31,1,68,1,0,2,3,4,563,0,7,570,
290,217,200,5,148,0,1,33,5,34,0,44,0,0,0,0,0,470,0,2,472,
291,218,183,0,145,2,1,56,0,40,11,14,1,2,1,0,2,458,0,7,465,
292,218A,171,4,149,4,1,39,4,27,7,11,6,6,2,2,1,434,0,2,436,
293,219,119,1,234,0,0,33,0,74,1,13,0,1,0,0,0,476,0,2,478,
294,219A,141,2,245,0,1,21,0,32,0,10,1,0,0,3,1,457,0,7,464,
295,220,359,0,287,2,3,4,1,33,10,4,5,4,0,2,6,720,0,12,732,
296,221,149,3,121,1,0,38,0,48,0,0,0,1,0,0,0,361,0,6,367,
297,222,125,1,145,2,1,2,1,81,3,4,1,1,1,0,1,369,0,3,372,
