Sl. No,Polling Station No,R. SAVITHA,K. ANNADURAI DAVID,M. BHARANIRAJAN,M. PALANIKUMAR,A. MURUGESAN,EMAN,LARENEG V. RAJAMANI,EHT R. REVATHY,V. ARUMUGAM,S SROTCELE P. ILANGOVAN,OT S. PANDIYAN UKKRA,M. KARUNAKARAN,M. SHARMA THAYAL SANKAR,S. SEKAR,. K. PACKIYASELVI,R. BALAMURUGAN,M.M. PILLAI,MARDNUKNARAPURIHT S. MANIKANDAN,M.K. KADAR ABDUL MOHIDEEN,K.R. MURUGAN,M. GUNASEKARAN (A) RADHA,K. RAMACHANDRAN,ednet der,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
173,115,235,173,0,9,24,0,0,0,36,0,0,0,0,0,2,0,1,0,0,0,0,0,0,4,484,0,484,0
174,115(A),186,206,0,14,19,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,448,0,448,0
175,116,313,240,1,19,45,0,0,0,43,0,0,1,0,0,0,2,0,0,0,0,0,0,0,5,669,0,669,0
176,117,169,140,0,7,32,0,0,0,37,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,399,0,399,0
177,117(A),143,173,1,11,38,0,0,1,27,0,0,2,1,1,1,1,0,1,1,1,0,1,0,5,409,0,409,0
178,118,148,153,0,17,52,0,0,0,26,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,404,0,404,0
179,118(A),120,175,0,10,66,0,0,0,24,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,400,0,400,0
180,119,301,301,1,29,51,0,0,0,64,0,0,3,0,0,1,0,2,1,0,0,0,0,0,8,762,0,762,0
181,120,264,290,3,23,42,1,1,0,44,0,0,1,2,0,1,0,0,0,0,1,0,0,0,13,686,0,686,0
182,121,131,220,0,32,38,1,0,0,32,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,459,0,459,0
183,122,141,151,0,19,27,1,0,0,44,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,386,0,386,0
184,122(A),113,189,1,11,27,0,2,0,20,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,368,0,368,0
185,123,260,278,1,42,55,4,0,1,63,1,0,2,0,0,0,0,1,1,0,0,1,0,0,8,718,0,718,0
186,124,113,180,0,26,25,0,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,384,0,384,0
187,124(A),98,218,1,11,27,0,0,0,32,0,0,3,0,0,1,3,1,0,0,0,0,0,0,1,396,0,396,0
188,125,185,176,1,17,23,0,2,0,41,0,0,3,0,0,0,1,0,0,0,0,1,1,0,4,455,0,455,0
189,125(A),161,236,2,23,37,0,0,0,22,0,0,2,0,0,0,1,1,4,0,0,0,0,0,3,492,0,492,0
190,126,127,183,0,16,16,0,0,0,58,0,0,2,0,0,1,0,0,0,0,0,2,0,1,11,417,0,417,0
191,126(A),128,218,0,18,19,0,0,0,32,1,0,0,0,0,0,1,0,0,0,0,1,1,0,7,426,0,426,0
192,127,223,385,2,56,23,0,0,0,63,1,0,2,1,0,1,3,3,2,2,1,0,1,0,9,778,0,778,0
193,128,107,374,1,19,102,0,0,0,33,0,0,1,0,0,0,1,1,0,1,0,0,1,1,8,650,0,650,0
194,129,122,307,0,12,75,0,1,1,56,0,0,3,0,0,0,1,1,1,0,0,1,1,0,11,593,0,593,0
