Sl. No,Polling Station No,Sambathkumar .T DMK,"Palaniswami, K. Edappadi AIADMK",A. Jamuna BSP,"IPA P. Eswari, Worker Social",PIM K.N. Gunasekaran,KMRGM S. Suriyamoorthy,D. Thasapparaj MNM,"N. Sekar, Pookadai AMMK",Dhesiya KM C. Mani,KIT R. Manikandan,Shrirathna NTK,"N Sriramachandran, Agni IND",N. Eswaramurthy IND,P. Eswaramoorthy IND,P. Iyyappan IND,V. Kathiravan IND,L. Kathiresan IND,M. Guheshkumar IND,G. Shanmugam IND,G. Sownthararajan IND,K. Dr.Padmarajan IND,A. Palanisamy IND,J. Balasubramaniam IND,M. Balamurugan IND,M. Murugan IND,G. Lakshmi IND,S. Loganathan IND,A. Stalin IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
139,112,191,338,1,2,1,0,0,1,0,0,6,5,1,2,4,7,1,0,0,0,0,0,0,0,0,0,2,1,563,7,0,570
140,113,161,488,3,0,0,0,0,9,2,0,15,1,0,0,2,0,3,3,0,0,0,0,0,0,0,2,1,0,690,1,0,691
141,114,125,250,2,0,1,0,2,1,0,1,25,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,2,1,416,0,0,416
142,115,160,546,5,2,0,0,1,1,0,0,15,0,1,0,3,3,1,0,0,0,0,0,0,0,0,0,1,2,741,2,0,743
143,116,174,540,0,0,2,0,3,1,0,1,36,2,0,2,2,0,1,1,0,1,0,0,1,0,0,3,2,1,773,5,0,778
144,117,150,366,0,0,1,0,3,0,0,0,24,2,0,0,2,2,1,1,0,0,1,0,0,0,1,0,0,0,554,3,0,557
145,118M,159,292,0,1,0,0,4,0,0,0,20,0,0,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,482,2,0,484
146,118A(W),151,308,2,0,0,0,1,1,0,0,10,1,0,2,2,2,1,2,0,0,0,0,0,0,0,1,1,2,487,4,0,491
147,119M,130,302,1,0,0,0,1,2,0,1,29,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,470,2,0,472
148,119A(W),123,296,2,2,0,0,0,0,0,0,11,1,1,0,3,0,0,1,0,0,0,0,0,1,0,1,1,0,443,1,0,444
149,120,211,553,3,0,1,1,0,2,0,0,32,0,0,0,3,4,2,4,1,0,0,0,0,0,0,2,1,0,820,2,0,822
150,121,85,269,0,0,0,1,0,0,0,0,14,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,373,1,0,374
151,122,218,520,3,0,0,0,3,0,0,0,30,0,0,0,0,4,1,2,1,0,0,0,0,0,0,0,0,0,782,1,0,783
152,123M,177,290,3,0,0,0,1,1,0,0,35,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,512,1,0,513
153,123A(W),121,322,2,0,0,0,2,2,0,0,10,1,0,2,3,2,0,0,0,0,0,0,0,1,0,0,0,0,468,1,0,469
154,124M,192,289,1,1,0,0,2,3,0,0,24,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,517,3,0,520
155,124A(W),122,344,6,0,0,0,2,2,0,0,4,1,0,1,2,1,0,0,0,0,0,0,0,0,0,2,2,0,489,2,0,491
156,125,193,714,1,0,1,0,2,2,0,0,20,2,1,1,6,2,0,1,0,0,1,0,0,0,1,0,5,1,954,4,0,958
157,126,141,501,3,1,0,0,4,3,0,0,11,0,1,2,1,4,1,2,0,0,0,0,1,0,0,0,1,0,677,1,0,678
158,127,106,388,0,2,0,0,0,2,0,0,12,1,0,1,0,0,1,6,1,0,0,0,0,0,0,0,1,0,521,0,0,521
159,128,198,492,4,2,2,2,5,3,2,2,19,2,2,3,2,4,3,5,2,2,3,2,2,2,2,2,2,3,774,4,0,778
160,129M,221,346,1,0,0,0,1,3,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,595,1,0,596
161,129A(W),166,321,1,2,0,0,1,1,1,1,6,3,0,0,1,3,2,2,0,0,0,0,0,0,0,0,1,0,512,3,0,515
162,130,151,543,3,0,0,0,0,1,0,0,12,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,716,2,0,718
163,131M,203,361,1,0,0,0,0,0,0,0,21,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,591,1,0,592
164,131A(W),199,306,2,0,1,0,0,0,1,0,3,1,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,520,0,0,520
165,132M,124,367,1,0,0,0,1,3,0,0,24,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,525,2,0,527
166,132A(W),98,369,3,0,0,1,2,0,0,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,481,1,0,482
