Sl. No,Polling Station No,"M.SUBRAMANIAN,(Alias)RAVICPI","M. SELVAKUMAR, DMDK","K.N. VIJEYAKUMAR, AIADMK","B. ALAGUSUNDARAM, KDA","S.EASWARAN,NTK","S.SIVABALAN,MNM","V. SENTHILKUMAR, MDATPA K","K. DEIVASIGAMANI, KMTE","S. UDHAYAKUMAR, IND","T.N. SENTHILKUMAR, IND","R. SENTHILKUMAR, IND","A. SENTHILVEL, IND","S. MURUGAPANDI, IND","M.RANGASAMY,IND",Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
238,162,2,164,13,238,1,47,36,2,1,1,0,1,5,1,1,513,0,2,515,0
239,163,3,121,7,215,0,49,44,2,0,0,0,0,3,1,1,446,0,3,449,0
240,163A,1,128,13,181,1,50,48,3,0,0,0,0,3,0,0,428,0,1,429,0
241,164,4,114,3,228,6,45,17,1,0,2,0,0,14,1,1,436,0,1,437,0
242,164A,0,109,11,215,3,44,24,0,1,3,0,1,7,0,1,419,0,6,425,0
243,165,0,183,15,202,1,22,33,6,0,0,0,0,2,2,1,467,0,7,474,0
244,165A,2,196,11,248,1,35,28,4,0,0,0,0,1,0,1,527,0,8,535,0
245,166,1,177,14,269,2,69,43,0,0,0,1,0,2,0,0,578,0,8,586,0
246,167,0,177,16,337,1,80,32,0,0,1,1,0,0,0,0,645,0,7,652,0
247,168,1,182,15,312,0,38,45,1,0,1,1,0,1,0,0,597,0,10,607,0
248,169,0,192,9,226,1,34,50,2,0,0,0,1,2,1,0,518,0,13,531,0
249,170,0,134,7,277,7,51,66,1,0,0,0,0,0,1,0,544,0,6,550,0
250,171,2,121,8,211,1,43,42,1,0,0,0,0,0,0,0,429,0,7,436,0
251,171A,1,136,6,226,3,42,43,0,0,0,0,0,0,0,0,457,0,10,467,0
252,172,1,120,1,213,1,29,37,1,0,0,0,0,0,0,0,403,0,5,408,0
253,172A,0,53,4,117,0,21,14,0,0,0,0,0,1,0,0,210,0,4,214,0
254,173,1,182,33,407,1,25,35,1,0,2,0,0,5,3,1,696,0,10,706,0
255,174,1,147,10,239,0,23,30,0,0,0,1,0,2,0,1,454,0,3,457,0
256,175,0,149,10,214,2,62,45,1,0,0,0,0,1,1,1,486,0,2,488,0
