Sl. No,Polling Station No,NACHIMUTHU S Samaj Party) (Bahujan,MOORTHI.K SIVABALA Mahasabha) Bharat Hindu (Akhil,THANGAVEL.B Party) India (My,POOVENDHAN .T Needhi Maiam) (Makkal,RAJASEKARAN VINOTH .G Tamilar Katchi) (Namm,AZHAGUMALA I.A (Independent,ANANTHAN S.P (Independent),KARUPPUSAM Y.P (Independent),KALIAPPAN.K (Independent),HAMEED SHAHUL (Independent),GOUNDER.P SAMIAPPA (Independent),SIDDIQ.M (Independent),SUDHA.R.B (Independent),SURESH.M (Independent),THANGAVEL.A (Independent),NAGENDRAN. G (Independent),PANDEESWAR AN.M (Independent),PERIYADURAI. M (Independent),MUNISHRAJA. M (Independent),SAHABUDEEN RASULBEEVI (Independent),LATHIKA (Independent),Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
98,79,460,2,160,3,0,15,16,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,663,0,1,664,0
99,80,237,0,234,4,0,33,35,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,553,0,13,566,0
100,81,461,0,288,2,0,1,10,2,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,2,771,0,2,773,0
101,82,194,1,189,2,0,25,26,1,1,0,0,0,0,0,0,2,2,0,1,0,0,1,1,0,446,0,2,448,0
102,83,336,1,317,2,0,11,34,5,0,1,1,0,0,1,0,3,2,0,0,0,0,0,0,2,716,0,6,722,0
103,84 M,219,1,132,0,0,12,30,8,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,1,408,0,0,408,0
104,84A(W),241,1,178,1,0,16,7,2,0,0,0,0,0,0,0,2,2,0,1,0,0,0,1,0,452,0,2,454,0
105,85,133,1,25,1,0,11,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,179,0,0,179,0
106,86 M,208,3,179,2,0,12,16,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,428,0,2,430,0
107,86A(W),253,1,179,1,2,19,15,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,478,0,3,481,0
108,87 M,168,0,134,2,0,26,31,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,368,0,5,373,0
109,87A(W),175,0,139,0,0,40,13,4,0,0,0,0,0,0,0,1,5,1,1,0,1,0,0,0,380,0,2,382,0
110,88 M,172,0,121,2,0,26,18,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,347,0,3,350,0
111,88A(W),177,0,117,0,0,26,10,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,337,0,1,338,0
112,89,227,1,174,0,1,42,19,4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,471,0,5,476,0
113,90 M,132,0,168,0,0,17,37,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,358,0,4,362,0
114,90A(W),160,0,156,0,0,27,14,3,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,2,366,0,2,368,0
115,91,306,2,253,0,0,15,35,5,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,622,0,3,625,0
116,92,327,1,198,1,0,17,19,6,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,1,577,0,6,583,0
117,93 M,298,0,76,2,0,7,11,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,405,0,3,408,0
118,93A(W),340,0,67,0,0,3,4,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,420,0,0,420,0
119,94,256,0,292,5,0,60,25,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,644,0,4,648,0
120,95 M,284,0,149,0,1,8,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,0,3,481,0
121,95A(W),324,1,163,0,0,7,14,2,0,1,0,0,2,2,0,1,3,0,1,0,0,1,0,0,522,0,2,524,0
122,96,269,0,205,2,0,24,33,1,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,540,0,3,543,0
123,97,387,2,250,1,0,22,26,3,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,696,0,5,701,0
124,98 M,397,1,127,0,0,6,23,4,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,563,0,2,565,0
125,98A(W),389,2,221,2,0,4,6,2,0,0,0,0,1,0,1,3,2,0,0,0,1,1,0,0,635,0,1,636,0
126,99 M,257,1,212,0,0,15,24,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,515,0,1,516,0
127,99A(W),300,2,207,1,0,19,17,3,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,553,0,2,555,0
128,100 M,194,1,223,1,0,19,21,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,0,7,470,0
129,100A(W),225,1,211,2,0,20,7,3,1,0,0,0,0,0,0,0,5,0,2,0,0,1,1,0,479,0,2,481,0
130,101 M,224,0,188,4,0,19,27,3,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,471,0,1,472,0
131,101A(W),222,0,188,3,0,19,11,3,1,0,0,0,0,0,0,3,0,0,5,0,0,0,0,2,457,0,1,458,0
132,102,279,1,266,1,0,24,25,6,0,0,1,0,0,0,1,1,1,0,3,0,1,2,0,0,612,0,3,615,0
133,103,313,0,213,3,1,26,15,6,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,582,0,2,584,0
134,104,245,1,402,0,0,17,24,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,693,0,6,699,0
135,105,355,1,98,0,0,7,11,9,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,484,0,7,491,0
136,106 M,353,0,18,0,0,0,6,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,388,0,2,390,0
137,106A(W),359,1,22,1,0,1,7,7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,401,0,0,401,0
138,107 M,299,0,65,0,0,7,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,395,0,1,396,0
139,107A(W),267,0,62,0,0,4,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,343,0,4,347,0
140,108 M,257,0,84,1,0,4,11,14,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,374,0,3,377,0
141,108A(W),251,1,101,0,0,3,7,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,369,0,3,372,0
142,109,426,0,290,2,1,18,22,2,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,0,767,0,2,769,0
143,110,213,3,154,0,0,11,10,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,397,0,5,402,0
144,111,389,0,114,0,0,9,15,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,536,0,3,539,0
145,112,356,0,266,3,0,8,40,8,0,0,0,0,3,2,1,1,4,0,2,1,0,0,0,0,695,0,3,698,0
146,113 M,371,1,115,0,0,2,17,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,520,0,2,522,0
147,113A(W),308,1,102,0,0,4,5,15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,437,0,0,437,0
148,114,204,1,275,1,0,24,23,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,539,0,9,548,0
149,115 M,161,0,140,0,0,33,15,7,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,362,0,3,365,0
150,115A(W),146,1,158,0,0,32,8,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,350,0,2,352,0
151,116,188,0,158,1,0,33,18,2,0,1,1,1,0,0,0,0,1,0,2,0,0,0,0,0,406,0,5,411,0
152,117 M,191,0,116,0,0,29,14,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,356,0,7,363,0
153,117A(W),191,2,119,0,0,21,13,5,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,356,0,4,360,0
154,118 M,181,0,273,1,0,8,20,9,1,1,0,0,0,0,1,0,0,0,3,0,0,0,1,0,499,0,3,502,0
155,118A(W),186,1,262,4,0,9,9,6,0,0,0,1,0,3,0,1,2,1,1,0,0,1,1,0,488,0,4,492,0
156,119 M,223,0,162,1,0,17,36,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,447,0,1,448,0
157,119A(W),269,1,198,7,0,20,14,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,514,0,0,514,0
158,120,129,1,87,1,0,9,17,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,247,0,0,247,0
159,121,328,2,274,1,0,17,17,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,644,0,2,646,0
160,122 M,184,0,183,1,0,13,23,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,414,0,4,418,0
161,122A(W),245,4,211,2,1,13,7,4,1,0,0,0,0,1,0,4,1,3,2,0,0,0,0,1,500,0,2,502,0
162,123 M,157,0,142,1,0,14,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,0,6,349,0
163,123A(W),164,0,168,0,0,20,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,362,0,5,367,0
164,124,192,2,241,0,1,22,10,8,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,481,0,6,487,0
165,125,315,1,220,0,0,18,26,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,591,0,3,594,0
166,126 M,221,0,164,2,0,22,25,4,2,0,0,0,0,0,0,0,3,1,2,0,1,0,0,0,447,0,3,450,0
167,126A(W),256,1,199,5,0,10,8,1,0,0,1,1,0,0,2,6,1,0,0,0,1,0,0,2,494,0,6,500,0
168,127 M,177,0,135,6,0,14,29,5,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,369,0,3,372,0
169,127 A(W),211,0,157,4,0,11,11,2,0,1,0,0,0,0,1,3,0,0,1,0,0,0,0,0,402,0,0,402,0
170,128 M,190,1,131,4,0,11,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,362,0,3,365,0
171,128A(W),211,0,143,1,0,10,9,0,0,0,1,0,0,1,4,1,5,1,0,0,0,0,0,0,387,0,0,387,0
172,129 M,222,0,211,3,1,9,23,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,473,0,7,480,0
173,129A(W),230,0,251,3,2,14,9,3,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,516,0,2,518,0
174,130 M,140,0,165,2,0,15,24,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,350,0,3,353,0
175,130A(W),131,1,193,3,0,21,14,7,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,375,0,3,378,0
176,131,145,1,133,1,0,15,7,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,306,0,2,308,0
177,132,246,1,313,2,0,13,23,5,0,0,0,4,3,0,0,2,0,0,1,0,0,0,0,0,613,0,5,618,0
178,133,206,3,349,2,0,17,28,4,1,1,0,0,4,1,0,2,1,2,1,1,0,0,0,0,623,0,2,625,0
